VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
UAV1	1649991500152	0.226714	-5.54323e-08	17.6088	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991500535095700.png
UAV1	1649991500251	0.226714	-5.54323e-08	17.51	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991500636027700.png
UAV1	1649991500356	0.226714	-5.54323e-08	17.4053	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991500739211600.png
UAV1	1649991500458	0.226714	-5.54323e-08	17.3035	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991500842675000.png
UAV1	1649991500563	0.226714	-5.54323e-08	17.1988	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991500947172400.png
UAV1	1649991500668	0.226714	-5.54323e-08	17.094	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991501051306200.png
UAV1	1649991500773	0.226714	-5.54323e-08	16.9894	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991501156441000.png
UAV1	1649991500875	0.226714	-5.54323e-08	16.8877	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991501259881700.png
UAV1	1649991500968	0.226714	-5.54323e-08	16.795	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991501353914500.png
UAV1	1649991501073	0.226714	-5.54323e-08	16.6903	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991501459234600.png
UAV1	1649991501178	0.226714	-5.54323e-08	16.5856	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991501564162400.png
UAV1	1649991501286	0.226714	-5.54323e-08	16.478	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991501671388800.png
UAV1	1649991501391	0.226714	-5.54323e-08	16.3733	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991501776339500.png
UAV1	1649991501484	0.226714	-5.54323e-08	16.2806	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991501868931100.png
UAV1	1649991501589	0.226714	-5.54323e-08	16.1759	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991501974639400.png
UAV1	1649991501682	0.226714	-5.54323e-08	16.0832	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991502069498600.png
UAV1	1649991501790	0.226714	-5.54323e-08	15.9755	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991502176948300.png
UAV1	1649991501898	0.226714	-5.54323e-08	15.8679	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991502285386500.png
UAV1	1649991502006	0.226714	-5.54323e-08	15.7602	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991502393947700.png
UAV1	1649991502102	0.226714	-5.54323e-08	15.6645	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991502490068300.png
UAV1	1649991502213	0.226714	-5.54323e-08	15.5538	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991502599516500.png
UAV1	1649991502303	0.226714	-5.54323e-08	15.4641	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991502693675500.png
UAV1	1649991502414	0.226714	-5.54323e-08	15.3534	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991502804420500.png
UAV1	1649991502507	0.226714	-5.54323e-08	15.2607	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991502898060300.png
UAV1	1649991502618	0.226714	-5.54323e-08	15.1501	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991503007602400.png
UAV1	1649991502714	0.226714	-5.54323e-08	15.0544	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991503102632800.png
UAV1	1649991502822	0.226714	-5.54323e-08	14.9467	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991503211649000.png
UAV1	1649991502918	0.226714	-5.54323e-08	14.854	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991503306855400.png
UAV1	1649991503026	0.226714	-5.54323e-08	14.7433	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991503417747500.png
UAV1	1649991503122	0.226714	-5.54323e-08	14.6476	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991503511686500.png
UAV1	1649991503218	0.226714	-5.54323e-08	14.5519	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991503608167400.png
UAV1	1649991503329	0.226714	-5.54323e-08	14.4413	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991503720055200.png
UAV1	1649991503425	0.226714	-5.54323e-08	14.3456	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991503816056500.png
UAV1	1649991503536	0.226714	-5.54323e-08	14.235	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991503928069600.png
UAV1	1649991503629	0.226714	-5.54323e-08	14.1423	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991504023110200.png
UAV1	1649991503740	0.226714	-5.54323e-08	14.0317	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991504134359800.png
UAV1	1649991503836	0.226714	-5.54323e-08	13.936	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991504228889400.png
UAV1	1649991503932	0.226714	-5.54323e-08	13.8404	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991504324504600.png
UAV1	1649991504046	0.226714	-5.54323e-08	13.7268	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991504439991400.png
UAV1	1649991504145	0.226714	-5.54323e-08	13.6281	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991504539396600.png
UAV1	1649991504241	0.226714	-5.54323e-08	13.5324	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991504637787400.png
UAV1	1649991504355	0.226714	-5.54323e-08	13.4188	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991504750018700.png
UAV1	1649991504451	0.226714	-5.54323e-08	13.3231	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991504846667700.png
UAV1	1649991504547	0.226714	-5.54323e-08	13.2275	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991504944423100.png
UAV1	1649991504649	0.226714	-5.54323e-08	13.1258	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991505044696700.png
UAV1	1649991504763	0.226714	-5.54323e-08	13.0152	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991505158779100.png
UAV1	1649991504844	0.226714	-5.54323e-08	12.9315	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991505242602200.png
UAV1	1649991504958	0.226714	-5.54323e-08	12.8179	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991505357038700.png
UAV1	1649991505054	0.226714	-5.54323e-08	12.7222	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991505453948200.png
UAV1	1649991505171	0.226714	-5.54323e-08	12.6056	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991505569132600.png
UAV1	1649991505252	0.226714	-5.54323e-08	12.5249	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991505651496300.png
UAV1	1649991505369	0.226714	-5.54323e-08	12.4083	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991505767110900.png
UAV1	1649991505466	0.226714	-5.54323e-08	12.3126	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991505864527400.png
UAV1	1649991505580	0.226714	-5.54323e-08	12.199	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991505977678900.png
UAV1	1649991505679	0.226714	-5.54323e-08	12.1003	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991506076752700.png
UAV1	1649991505778	0.226714	-5.54323e-08	12.0017	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991506176389700.png
UAV1	1649991505877	0.226714	-5.54323e-08	11.903	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991506276675700.png
UAV1	1649991505979	0.226714	-5.54323e-08	11.8013	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991506377418700.png
UAV1	1649991506078	0.226714	-5.54323e-08	11.7027	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991506478068600.png
UAV1	1649991506177	0.226714	-5.54323e-08	11.604	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991506577028700.png
UAV1	1649991506294	0.226714	-5.54323e-08	11.4874	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991506693525700.png
UAV1	1649991506378	0.226714	-5.54323e-08	11.4037	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991506777535400.png
UAV1	1649991506495	0.226714	-5.54323e-08	11.2871	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991506895184100.png
UAV1	1649991506594	0.226714	-5.54323e-08	11.1884	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991506993744600.png
UAV1	1649991506693	0.226714	-5.54323e-08	11.0898	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991507093202200.png
UAV1	1649991506792	0.226714	-5.54323e-08	10.9911	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991507193042600.png
UAV1	1649991506891	0.226714	-5.54323e-08	10.8924	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991507293941200.png
UAV1	1649991507008	0.226714	-5.54323e-08	10.7758	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991507410389900.png
UAV1	1649991507098	0.226714	-5.54323e-08	10.6862	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991507511829900.png
UAV1	1649991507215	0.226714	-5.54323e-08	10.5696	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991507628343600.png
UAV1	1649991507296	0.226714	-5.54323e-08	10.4888	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991507712083800.png
UAV1	1649991507416	0.226714	-5.54323e-08	10.3692	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991507830099900.png
UAV1	1649991507497	0.226714	-5.54323e-08	10.2885	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991507912874700.png
UAV1	1649991507611	0.226714	-5.54323e-08	10.1749	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991508027548400.png
UAV1	1649991507713	0.226714	-5.54323e-08	10.0733	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991508127441700.png
UAV1	1649991507812	0.226714	-5.54323e-08	9.97459	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991508228484000.png
UAV1	1649991507914	0.226714	-5.54323e-08	9.87294	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991508329033500.png
UAV1	1649991508028	0.226714	-5.54323e-08	9.75933	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991508443634700.png
